run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7387,0.7068,0.5763,0.7207,0.8571,0.718,0.6948
run_1,25,0.6953,0.6579,0.4941,0.7097,0.7724,0.6587,0.6361
run_2,26,0.7266,0.7218,0.7149,0.5987,0.8889,0.7342,0.7187
run_3,27,0.7276,0.7105,0.6571,0.6667,0.8661,0.73,0.7122
run_4,28,0.7276,0.7256,0.7064,0.6629,0.8571,0.7421,0.7291
mean,-,0.7232,0.7045,0.6298,0.6717,0.8483,0.7166,0.6982
std,-,0.0146,0.0243,0.0838,0.0431,0.0397,0.03,0.033
