run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7283,0.703,0.6129,0.7009,0.8333,0.7157,0.6974
run_1,25,0.7492,0.718,0.6339,0.6952,0.8633,0.7308,0.7116
run_2,26,0.7444,0.718,0.6321,0.7059,0.8593,0.7324,0.7134
run_3,27,0.7249,0.7105,0.681,0.6303,0.8593,0.7235,0.7081
run_4,28,0.73,0.7218,0.6987,0.648,0.871,0.7392,0.7243
mean,-,0.7354,0.7143,0.6517,0.6761,0.8572,0.7283,0.711
std,-,0.0096,0.0067,0.0325,0.0308,0.0127,0.008,0.0087
