run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7239,0.6992,0.6385,0.6339,0.8824,0.7182,0.6974
run_1,25,0.7148,0.6955,0.6073,0.6878,0.85,0.715,0.6948
run_2,26,0.7542,0.7218,0.6304,0.6952,0.8841,0.7366,0.7153
run_3,27,0.735,0.7105,0.6257,0.69,0.871,0.7289,0.7083
run_4,28,0.7135,0.703,0.6637,0.6413,0.8689,0.7246,0.707
mean,-,0.7283,0.706,0.6331,0.6696,0.8713,0.7247,0.7046
std,-,0.0151,0.0093,0.0184,0.0264,0.0122,0.0077,0.0075
