run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7374,0.6992,0.5509,0.7013,0.8806,0.7109,0.6836
run_1,25,0.7273,0.7218,0.6949,0.659,0.8618,0.7386,0.7242
run_2,26,0.7077,0.6842,0.6275,0.6289,0.8507,0.7024,0.6833
run_3,27,0.7485,0.718,0.6528,0.7021,0.8212,0.7254,0.7113
run_4,28,0.7316,0.703,0.6154,0.6948,0.8321,0.7141,0.696
mean,-,0.7305,0.7052,0.6283,0.6772,0.8493,0.7183,0.6997
std,-,0.0134,0.0136,0.0473,0.0289,0.0211,0.0126,0.016
