run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7162,0.688,0.6044,0.6729,0.8235,0.7003,0.6819
run_1,25,0.697,0.6767,0.6082,0.6635,0.8,0.6906,0.6745
run_2,26,0.7431,0.7105,0.6203,0.7,0.8414,0.7206,0.7021
run_3,27,0.7458,0.7331,0.6762,0.7136,0.8618,0.7505,0.7349
run_4,28,0.7242,0.7105,0.6635,0.6769,0.8413,0.7272,0.7122
mean,-,0.7253,0.7038,0.6345,0.6854,0.8336,0.7178,0.7011
std,-,0.018,0.0197,0.0296,0.0185,0.0207,0.021,0.0216
