run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7259,0.6917,0.5876,0.6854,0.831,0.7013,0.6811
mean,-,0.7259,0.6917,0.5876,0.6854,0.831,0.7013,0.6811
std,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
