run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7316,0.6955,0.5529,0.7048,0.8593,0.7057,0.6803
run_1,25,0.7236,0.703,0.6283,0.6981,0.8217,0.716,0.6999
run_2,26,0.73,0.7143,0.6505,0.7071,0.8281,0.7286,0.7137
run_3,27,0.738,0.7293,0.7113,0.6265,0.8976,0.7451,0.7288
run_4,28,0.7296,0.7256,0.6972,0.701,0.8167,0.7383,0.7282
mean,-,0.7306,0.7135,0.648,0.6875,0.8447,0.7267,0.7102
std,-,0.0046,0.0129,0.0563,0.0307,0.0303,0.0144,0.0183
