run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7192,0.6992,0.6411,0.6528,0.8615,0.7185,0.6998
run_1,25,0.7316,0.703,0.6054,0.7048,0.8321,0.7141,0.6953
run_2,26,0.7444,0.7331,0.6912,0.6984,0.8571,0.7489,0.7348
run_3,27,0.7525,0.7406,0.713,0.6909,0.8467,0.7502,0.7387
run_4,28,0.7525,0.7105,0.557,0.7273,0.8531,0.7125,0.6881
mean,-,0.74,0.7173,0.6415,0.6948,0.8501,0.7288,0.7113
std,-,0.0129,0.0166,0.0566,0.0243,0.0102,0.017,0.0211
