run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7273,0.7068,0.6538,0.6597,0.8571,0.7236,0.7063
run_1,25,0.7481,0.7293,0.6987,0.6541,0.8611,0.738,0.7239
run_2,26,0.7185,0.6992,0.6346,0.6701,0.8462,0.717,0.6991
run_3,27,0.7067,0.6805,0.5683,0.6847,0.8346,0.6959,0.6738
run_4,28,0.7451,0.7331,0.6972,0.6995,0.8397,0.7455,0.7333
mean,-,0.7291,0.7098,0.6505,0.6736,0.8477,0.724,0.7073
std,-,0.0157,0.0195,0.048,0.0166,0.0101,0.0173,0.0207
