run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7643,0.7444,0.6667,0.7524,0.8462,0.7551,0.7402
run_1,25,0.7481,0.7368,0.6919,0.7071,0.8618,0.7536,0.7392
run_2,26,0.7606,0.7556,0.7319,0.7018,0.873,0.7689,0.7567
run_3,27,0.737,0.703,0.6022,0.6965,0.8414,0.7133,0.6934
run_4,28,0.7367,0.7068,0.625,0.6904,0.8392,0.7182,0.7003
mean,-,0.7493,0.7293,0.6635,0.7096,0.8523,0.7418,0.726
std,-,0.0115,0.0209,0.0463,0.0221,0.013,0.022,0.0247
