run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7226,0.6992,0.6305,0.6736,0.8382,0.7141,0.6966
mean,-,0.7226,0.6992,0.6305,0.6736,0.8382,0.7141,0.6966
std,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
