run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7364,0.718,0.6667,0.6667,0.8769,0.7368,0.7188
run_1,25,0.7333,0.7143,0.6792,0.6557,0.8467,0.7272,0.7128
run_2,26,0.73,0.6992,0.5907,0.7,0.8489,0.7132,0.6917
run_3,27,0.7582,0.7368,0.6633,0.7122,0.8906,0.7554,0.7363
run_4,28,0.7401,0.7218,0.6854,0.6595,0.8657,0.7369,0.7214
mean,-,0.7396,0.718,0.6571,0.6788,0.8658,0.7339,0.7162
std,-,0.0099,0.0121,0.0341,0.0229,0.0167,0.0138,0.0145
