run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7296,0.7105,0.6368,0.7065,0.8308,0.7247,0.7085
run_1,25,0.7192,0.6992,0.6193,0.6957,0.8281,0.7144,0.6969
run_2,26,0.731,0.6955,0.5549,0.7248,0.8227,0.7008,0.6788
mean,-,0.7266,0.7017,0.6037,0.709,0.8272,0.7133,0.6947
std,-,0.0053,0.0064,0.0352,0.012,0.0034,0.0098,0.0122
