run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.4983,0.5338,0.5894,0.4234,0.5161,0.5096,0.515
run_1,25,0.5155,0.5526,0.6098,0.4328,0.5376,0.5268,0.532
run_2,26,0.5084,0.5489,0.6104,0.4328,0.5111,0.5181,0.5257
run_3,27,0.5168,0.5526,0.6047,0.446,0.5435,0.5314,0.5358
run_4,28,0.4872,0.5301,0.6006,0.3969,0.4773,0.4916,0.5011
mean,-,0.5052,0.5436,0.603,0.4264,0.5171,0.5155,0.5219
std,-,0.0112,0.0097,0.0077,0.0164,0.0234,0.0141,0.0126
