run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.6455,0.6504,0.6538,0.535,0.8,0.663,0.6499
run_1,25,0.6455,0.6504,0.6538,0.535,0.8,0.663,0.6499
run_2,26,0.6455,0.6504,0.6538,0.535,0.8,0.663,0.6499
run_3,27,0.6455,0.6504,0.6538,0.535,0.8,0.663,0.6499
run_4,28,0.6455,0.6504,0.6538,0.535,0.8,0.663,0.6499
mean,-,0.6455,0.6504,0.6538,0.535,0.8,0.663,0.6499
std,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
