run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7434,0.7143,0.6162,0.6912,0.8923,0.7333,0.7101
run_1,25,0.7202,0.7105,0.6667,0.6702,0.8525,0.7298,0.714
run_2,26,0.7178,0.7068,0.6502,0.6986,0.8167,0.7218,0.7079
run_3,27,0.7438,0.7256,0.6495,0.7163,0.8618,0.7425,0.7248
run_4,28,0.7219,0.6992,0.6574,0.6215,0.8633,0.7141,0.6963
mean,-,0.7294,0.7113,0.648,0.6796,0.8573,0.7283,0.7106
std,-,0.0117,0.0087,0.0171,0.0326,0.0243,0.0097,0.0092
