run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7444,0.7331,0.6937,0.6885,0.8661,0.7495,0.7347
run_1,25,0.7266,0.7068,0.6146,0.7196,0.8254,0.7199,0.7024
run_2,26,0.729,0.6955,0.5856,0.6854,0.8551,0.7087,0.6863
run_3,27,0.7215,0.7105,0.6667,0.6629,0.8571,0.7289,0.7127
run_4,28,0.7505,0.7105,0.5732,0.7105,0.8714,0.7184,0.6936
mean,-,0.7344,0.7113,0.6268,0.6934,0.855,0.7251,0.7059
std,-,0.0111,0.0122,0.0464,0.02,0.016,0.0138,0.0169
