run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7367,0.6992,0.5632,0.7,0.8696,0.7109,0.6855
mean,-,0.7367,0.6992,0.5632,0.7,0.8696,0.7109,0.6855
std,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
