run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7461,0.7444,0.7386,0.6587,0.871,0.7561,0.7444
run_1,25,0.7199,0.6992,0.6294,0.6699,0.8571,0.7188,0.6996
run_2,26,0.7273,0.7068,0.6545,0.6514,0.8613,0.7224,0.7048
run_3,27,0.7394,0.7143,0.6321,0.7129,0.8321,0.7257,0.7091
run_4,28,0.6966,0.6729,0.5979,0.6381,0.8438,0.6933,0.6725
mean,-,0.7259,0.7075,0.6505,0.6662,0.8531,0.7233,0.7061
std,-,0.0172,0.0231,0.0476,0.0255,0.0136,0.02,0.023
