run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7212,0.7068,0.6332,0.7075,0.8264,0.7224,0.7063
mean,-,0.7212,0.7068,0.6332,0.7075,0.8264,0.7224,0.7063
std,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
