run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.7088,0.6729,0.5349,0.7037,0.7917,0.6768,0.6557
mean,-,0.7088,0.6729,0.5349,0.7037,0.7917,0.6768,0.6557
std,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
