run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,24,0.763,0.7444,0.7014,0.7222,0.8369,0.7535,0.7421
run_1,25,0.7239,0.6992,0.6244,0.6882,0.8227,0.7118,0.6952
run_2,26,0.7148,0.6805,0.5591,0.6763,0.8489,0.6948,0.6707
run_3,27,0.7374,0.7143,0.64,0.6832,0.8769,0.7334,0.7134
run_4,28,0.7172,0.7068,0.6787,0.6486,0.8413,0.7229,0.7089
mean,-,0.7313,0.709,0.6407,0.6837,0.8453,0.7233,0.7061
std,-,0.0177,0.0209,0.0491,0.0236,0.0179,0.0198,0.0234
